2023-10-02-09:30:00,ERROR-1
2023-10-02-09:35:00,359.500
2023-10-02-09:40:01,360.401
2023-10-02-09:45:02,360.570
2023-10-02-09:50:02,359.915
2023-10-02-09:55:03,359.755
2023-10-02-10:00:04,359.450
2023-10-02-10:05:04,361.211
2023-10-02-10:10:05,360.680
2023-10-02-10:15:05,360.080
2023-10-02-10:20:06,360.410
2023-10-02-10:25:07,360.620
2023-10-02-10:30:07,359.765
2023-10-02-10:35:08,360.140
2023-10-02-10:40:08,360.210
2023-10-02-10:45:09,360.150
2023-10-02-10:50:10,360.530
2023-10-02-10:55:10,360.345
2023-10-02-11:00:11,360.100
2023-10-02-11:05:11,360.560
2023-10-02-11:10:12,360.490
2023-10-02-11:15:13,361.430
2023-10-02-11:20:13,361.720
2023-10-02-11:25:14,362.470
2023-10-02-11:30:14,362.570
2023-10-02-11:35:15,362.030
2023-10-02-11:40:16,361.370
2023-10-02-11:45:16,360.660
2023-10-02-11:50:17,360.480
2023-10-02-11:55:17,359.610
2023-10-02-12:00:18,359.630
2023-10-02-12:05:19,359.555
2023-10-02-12:10:19,358.965
2023-10-02-12:15:20,359.720
2023-10-02-12:20:21,359.500
2023-10-02-12:25:21,359.770
2023-10-02-12:30:22,359.329
2023-10-02-12:35:22,359.630
2023-10-02-12:40:23,359.595
2023-10-02-12:45:24,359.200
2023-10-02-12:50:24,358.849
2023-10-02-12:55:25,358.971
2023-10-02-13:00:25,358.946
2023-10-02-13:05:26,359.120
2023-10-02-13:10:26,358.925
2023-10-02-13:15:27,358.611
2023-10-02-13:20:28,359.135
2023-10-02-13:25:28,359.330
2023-10-02-13:30:29,359.665
2023-10-02-13:35:29,359.350
2023-10-02-13:40:30,359.380
2023-10-02-13:45:31,359.739
2023-10-02-13:50:31,359.550
2023-10-02-13:55:32,359.884
2023-10-02-14:00:33,359.449
2023-10-02-14:05:33,359.460
2023-10-02-14:10:34,359.710
2023-10-02-14:15:34,360.370
2023-10-02-14:20:35,359.480
2023-10-02-14:25:36,359.265
2023-10-02-14:30:36,358.810
2023-10-02-14:35:37,358.970
2023-10-02-14:40:37,358.420
2023-10-02-14:45:38,358.750
2023-10-02-14:50:39,358.790
2023-10-02-14:55:39,358.950
2023-10-02-15:00:40,358.890
2023-10-02-15:05:40,358.660
2023-10-02-15:10:41,359.096
2023-10-02-15:15:41,359.045
2023-10-02-15:20:42,359.260
2023-10-02-15:25:43,359.700
2023-10-02-15:30:43,359.570
2023-10-02-15:35:44,360.052
2023-10-02-15:40:44,360.010
2023-10-02-15:45:45,360.019
2023-10-02-15:50:46,359.910
2023-10-02-15:55:47,360.950
2023-10-02-16:00:47,361.260
2023-10-03-09:30:00,361.260
2023-10-03-09:35:00,359.419
2023-10-03-09:40:01,359.320
2023-10-03-09:45:02,359.490
2023-10-03-09:50:02,360.030
2023-10-03-09:55:03,360.860
2023-10-03-10:00:03,360.050
2023-10-03-10:05:04,358.050
2023-10-03-10:10:05,357.560
2023-10-03-10:15:05,357.050
2023-10-03-10:20:06,356.460
2023-10-03-10:25:07,356.290
2023-10-03-10:30:07,356.204
2023-10-03-10:35:08,356.650
2023-10-03-10:40:08,356.205
2023-10-03-10:45:09,356.560
2023-10-03-10:50:10,355.990
2023-10-03-10:55:10,355.750
2023-10-03-11:00:11,355.390
2023-10-03-11:05:11,355.330
2023-10-03-11:10:12,355.320
2023-10-03-11:15:13,355.390
2023-10-03-11:20:13,355.480
2023-10-03-11:25:14,355.275
2023-10-03-11:30:14,355.260
2023-10-03-11:35:15,354.920
2023-10-03-11:40:16,355.350
2023-10-03-11:45:16,355.150
2023-10-03-11:50:17,355.034
2023-10-03-11:55:17,354.855
2023-10-03-12:00:18,355.149
2023-10-03-12:05:19,355.650
2023-10-03-12:10:19,355.460
2023-10-03-12:15:20,355.770
2023-10-03-12:20:21,356.000
2023-10-03-12:25:21,355.910
2023-10-03-12:30:22,356.140
2023-10-03-12:35:22,355.860
2023-10-03-12:40:23,356.000
2023-10-03-12:45:24,355.849
2023-10-03-12:50:24,355.940
2023-10-03-12:55:25,355.730
2023-10-03-13:00:25,356.105
2023-10-03-13:05:26,356.300
2023-10-03-13:10:27,355.831
2023-10-03-13:15:27,355.750
2023-10-03-13:20:28,355.183
2023-10-03-13:25:29,355.390
2023-10-03-13:30:29,355.060
2023-10-03-13:35:30,354.842
2023-10-03-13:40:31,354.820
2023-10-03-13:45:31,354.775
2023-10-03-13:50:32,354.529
2023-10-03-13:55:32,354.420
2023-10-03-14:00:33,354.490
2023-10-03-14:05:34,354.210
2023-10-03-14:10:34,354.190
2023-10-03-14:15:35,354.060
2023-10-03-14:20:35,354.010
2023-10-03-14:25:36,354.250
2023-10-03-14:30:37,354.140
2023-10-03-14:35:37,354.360
2023-10-03-14:40:38,354.490
2023-10-03-14:45:39,354.590
2023-10-03-14:50:39,354.750
2023-10-03-14:55:40,354.450
2023-10-03-15:00:40,354.280
2023-10-03-15:05:41,354.350
2023-10-03-15:10:41,353.930
2023-10-03-15:15:42,353.870
2023-10-03-15:20:43,354.120
2023-10-03-15:25:43,353.770
2023-10-03-15:30:44,353.585
2023-10-03-15:35:44,353.430
2023-10-03-15:40:45,353.680
2023-10-03-15:45:45,353.980
2023-10-03-15:50:46,354.530
2023-10-03-15:55:47,354.540
2023-10-03-16:00:47,354.920
2023-10-04-09:30:00,354.920
2023-10-04-09:35:00,356.800
2023-10-04-09:40:01,357.580
2023-10-04-09:45:02,357.120
2023-10-04-09:50:02,357.300
2023-10-04-09:55:03,357.190
2023-10-04-10:00:04,356.755
2023-10-04-10:05:04,356.060
2023-10-04-10:10:05,356.090
2023-10-04-10:15:05,356.455
