2024-06-03-09:30:00,ERROR-1
2024-06-03-09:35:00,63.783
2024-06-03-09:40:01,63.835
2024-06-03-09:45:02,63.915
2024-06-03-09:50:02,63.875
2024-06-03-09:55:03,63.490
2024-06-03-10:00:03,63.670
2024-06-03-10:05:04,63.360
2024-06-03-10:10:05,63.320
2024-06-03-10:15:05,63.140
2024-06-03-10:20:06,63.540
2024-06-03-10:25:06,63.570
2024-06-03-10:30:07,63.601
2024-06-03-10:35:07,63.391
2024-06-03-10:40:08,63.180
2024-06-03-10:45:08,63.120
2024-06-03-10:50:09,62.620
2024-06-03-10:55:09,62.360
2024-06-03-11:00:10,62.465
2024-06-03-11:05:11,62.325
2024-06-03-11:10:11,62.615
2024-06-03-11:15:12,62.440
2024-06-03-11:20:12,62.730
2024-06-03-11:25:13,62.790
2024-06-03-11:30:13,62.807
2024-06-03-11:35:14,62.690
2024-06-03-11:40:14,62.785
2024-06-03-11:45:15,62.811
2024-06-03-11:50:16,62.640
2024-06-03-11:55:16,62.710
2024-06-03-12:00:17,62.655
2024-06-03-12:05:17,62.500
2024-06-03-12:10:18,62.475
2024-06-03-12:15:18,61.910
2024-06-03-12:20:19,61.830
2024-06-03-12:25:19,61.540
2024-06-03-12:30:20,61.580
2024-06-03-12:35:21,61.375
2024-06-03-12:40:21,61.740
2024-06-03-12:45:22,61.680
2024-06-03-12:50:22,61.578
2024-06-03-12:55:23,61.579
2024-06-03-13:00:23,61.338
2024-06-03-13:05:24,61.330
2024-06-03-13:10:24,61.240
2024-06-03-13:15:25,61.260
2024-06-03-13:20:25,61.510
2024-06-03-13:25:26,61.665
2024-06-03-13:30:26,61.980
2024-06-03-13:35:27,62.040
2024-06-03-13:40:28,62.265
2024-06-03-13:45:28,62.340
2024-06-03-13:50:29,62.240
2024-06-03-13:55:29,62.200
2024-06-03-14:00:30,62.190
2024-06-03-14:05:30,62.208
2024-06-03-14:10:31,62.270
2024-06-03-14:15:32,61.980
2024-06-03-14:20:32,62.055
2024-06-03-14:25:33,62.220
2024-06-03-14:30:33,62.069
2024-06-03-14:35:34,62.150
2024-06-03-14:40:34,62.240
2024-06-03-14:45:35,62.250
2024-06-03-14:50:36,62.276
2024-06-03-14:55:36,62.098
2024-06-03-15:00:37,62.155
2024-06-03-15:05:37,62.290
2024-06-03-15:10:38,62.235
2024-06-03-15:15:39,62.365
2024-06-03-15:20:39,62.425
2024-06-03-15:25:40,62.503
2024-06-03-15:30:40,62.390
2024-06-03-15:35:41,62.520
2024-06-03-15:40:41,62.275
2024-06-03-15:45:42,62.426
2024-06-03-15:50:43,62.515
2024-06-03-15:55:43,62.820
2024-06-03-16:00:44,63.140
2024-06-04-09:30:00,63.140
2024-06-04-09:35:00,62.530
2024-06-04-09:40:01,62.840
2024-06-04-09:45:02,62.710
2024-06-04-09:50:02,62.780
2024-06-04-09:55:03,62.755
2024-06-04-10:00:03,62.860
2024-06-04-10:05:04,62.900
2024-06-04-10:10:05,62.600
2024-06-04-10:15:05,62.365
2024-06-04-10:20:06,62.605
2024-06-04-10:25:06,62.500
2024-06-04-10:30:07,62.780
2024-06-04-10:35:07,62.775
2024-06-04-10:40:08,62.935
2024-06-04-10:45:08,63.065
2024-06-04-10:50:09,62.860
2024-06-04-10:55:10,62.815
2024-06-04-11:00:10,62.640
2024-06-04-11:05:11,62.660
2024-06-04-11:10:11,62.750
2024-06-04-11:15:12,62.490
2024-06-04-11:20:12,62.760
2024-06-04-11:25:13,62.830
2024-06-04-11:30:13,62.595
2024-06-04-11:35:14,62.470
2024-06-04-11:40:15,62.485
2024-06-04-11:45:15,62.610
2024-06-04-11:50:16,62.510
2024-06-04-11:55:16,62.620
2024-06-04-12:00:17,62.465
2024-06-04-12:05:17,62.515
2024-06-04-12:10:18,62.360
2024-06-04-12:15:18,62.405
2024-06-04-12:20:19,62.440
2024-06-04-12:25:19,62.480
2024-06-04-12:30:20,62.650
2024-06-04-12:35:21,62.650
2024-06-04-12:40:21,62.730
2024-06-04-12:45:22,62.970
2024-06-04-12:50:22,62.982
2024-06-04-12:55:23,62.880
2024-06-04-13:00:24,62.880
2024-06-04-13:05:24,62.780
2024-06-04-13:10:25,62.643
2024-06-04-13:15:25,62.785
2024-06-04-13:20:26,62.925
2024-06-04-13:25:26,62.775
2024-06-04-13:30:27,63.034
2024-06-04-13:35:28,62.790
2024-06-04-13:40:28,62.870
2024-06-04-13:45:29,62.842
2024-06-04-13:50:29,62.892
2024-06-04-13:55:30,62.940
2024-06-04-14:00:30,62.885
2024-06-04-14:05:31,62.942
2024-06-04-14:10:32,63.015
2024-06-04-14:15:32,63.380
2024-06-04-14:20:33,63.535
2024-06-04-14:25:33,63.805
2024-06-04-14:30:34,63.870
2024-06-04-14:35:34,63.895
2024-06-04-14:40:35,63.880
2024-06-04-14:45:36,64.070
2024-06-04-14:50:36,64.085
2024-06-04-14:55:37,64.000
2024-06-04-15:00:37,63.675
2024-06-04-15:05:37,62.990
2024-06-04-15:10:38,63.160
2024-06-04-15:15:39,63.200
2024-06-04-15:20:39,63.310
2024-06-04-15:25:40,63.295
2024-06-04-15:30:40,63.210
2024-06-04-15:35:41,63.228
2024-06-04-15:40:41,63.266
2024-06-04-15:45:42,63.490
2024-06-04-15:50:42,63.620
2024-06-04-15:55:43,63.570
2024-06-04-16:00:43,63.610
2024-06-05-09:30:00,63.610
2024-06-05-09:35:01,64.970
2024-06-05-09:40:01,64.828
2024-06-05-09:45:02,65.010
2024-06-05-09:50:02,65.020
2024-06-05-09:55:03,65.110
2024-06-05-10:00:04,64.920
2024-06-05-10:05:04,65.178
2024-06-05-10:10:05,64.890
2024-06-05-10:15:05,64.965
2024-06-05-10:20:06,65.020
2024-06-05-10:25:06,65.445
2024-06-05-10:30:07,65.635
2024-06-05-10:35:07,65.951
2024-06-05-10:40:08,65.920
2024-06-05-10:45:09,65.810
2024-06-05-10:50:09,65.840
2024-06-05-10:55:10,65.825
2024-06-05-11:00:10,65.900
2024-06-05-11:05:11,66.070
2024-06-05-11:10:11,65.972
2024-06-05-11:15:12,66.245
2024-06-05-11:20:12,66.310
2024-06-05-11:25:13,66.325
2024-06-05-11:30:14,66.335
2024-06-05-11:35:14,66.395
2024-06-05-11:40:15,66.355
2024-06-05-11:45:15,66.505
2024-06-05-11:50:16,66.380
2024-06-05-11:55:16,66.270
2024-06-05-12:00:17,66.260
2024-06-05-12:05:17,66.335
2024-06-05-12:10:18,66.305
2024-06-05-12:15:19,66.240
2024-06-05-12:20:19,66.370
2024-06-05-12:25:20,66.420
2024-06-05-12:30:20,66.370
2024-06-05-12:35:21,66.420
2024-06-05-12:40:21,66.480
2024-06-05-12:45:22,66.530
2024-06-05-12:50:22,66.590
2024-06-05-12:55:23,66.695
2024-06-05-13:00:24,66.640
2024-06-05-13:05:24,66.785
2024-06-05-13:10:25,66.810
2024-06-05-13:15:25,66.802
2024-06-05-13:20:26,66.550
2024-06-05-13:25:26,66.480
2024-06-05-13:30:27,66.670
2024-06-05-13:35:27,66.745
2024-06-05-13:40:28,66.895
2024-06-05-13:45:28,66.780
2024-06-05-13:50:29,66.784
2024-06-05-13:55:30,66.827
2024-06-05-14:00:30,66.840
2024-06-05-14:05:31,66.820
2024-06-05-14:10:31,66.840
2024-06-05-14:15:32,66.785
2024-06-05-14:20:32,66.830
2024-06-05-14:25:33,66.835
2024-06-05-14:30:34,66.883
2024-06-05-14:35:34,66.990
2024-06-05-14:40:35,67.000
2024-06-05-14:45:35,67.052
2024-06-05-14:50:36,67.030
2024-06-05-14:55:36,67.099
2024-06-05-15:00:37,67.045
2024-06-05-15:05:38,67.080
2024-06-05-15:10:38,67.050
2024-06-05-15:15:39,67.105
2024-06-05-15:20:39,67.115
2024-06-05-15:25:40,67.050
2024-06-05-15:30:40,67.005
2024-06-05-15:35:41,67.050
2024-06-05-15:40:41,67.127
2024-06-05-15:45:42,67.030
2024-06-05-15:50:42,67.094
2024-06-05-15:55:43,67.383
2024-06-05-16:00:44,67.450
2024-06-06-09:30:00,67.450
2024-06-06-09:35:00,67.740
2024-06-06-09:40:01,67.855
2024-06-06-09:45:02,67.735
2024-06-06-09:50:02,67.380
2024-06-06-09:55:03,67.340
2024-06-06-10:00:03,67.030
2024-06-06-10:05:04,67.250
2024-06-06-10:10:04,67.270
2024-06-06-10:15:05,67.368
2024-06-06-10:20:06,67.305
2024-06-06-10:25:07,67.475
2024-06-06-10:30:07,67.470
2024-06-06-10:35:08,67.599
2024-06-06-10:40:08,67.685
2024-06-06-10:45:09,67.710
2024-06-06-10:50:09,67.670
2024-06-06-10:55:10,67.650
2024-06-06-11:00:11,67.560
2024-06-06-11:05:11,67.610
2024-06-06-11:10:12,67.620
2024-06-06-11:15:12,67.550
2024-06-06-11:20:13,67.554
2024-06-06-11:25:14,67.420
2024-06-06-11:30:14,67.281
2024-06-06-11:35:15,67.290
