2024-04-01-09:30:00,ERROR-1
2024-04-01-09:35:00,481.590
2024-04-01-09:40:01,481.810
2024-04-01-09:45:02,481.820
2024-04-01-09:50:02,481.590
2024-04-01-09:55:03,481.660
2024-04-01-10:00:03,481.500
2024-04-01-10:05:04,480.960
2024-04-01-10:10:05,481.340
2024-04-01-10:15:05,481.502
2024-04-01-10:20:06,480.615
2024-04-01-10:25:06,480.860
2024-04-01-10:30:07,480.635
2024-04-01-10:35:07,480.490
2024-04-01-10:40:08,480.030
2024-04-01-10:45:09,480.225
2024-04-01-10:50:09,480.143
2024-04-01-10:55:10,479.940
2024-04-01-11:00:10,480.050
2024-04-01-11:05:11,480.010
2024-04-01-11:10:11,479.890
2024-04-01-11:15:12,479.648
2024-04-01-11:20:12,479.370
2024-04-01-11:25:13,479.610
2024-04-01-11:30:14,479.750
2024-04-01-11:35:14,479.590
2024-04-01-11:40:15,479.466
2024-04-01-11:45:15,479.570
2024-04-01-11:50:16,479.640
2024-04-01-11:55:16,479.220
2024-04-01-12:00:17,478.890
2024-04-01-12:05:17,479.371
2024-04-01-12:10:18,479.550
2024-04-01-12:15:19,479.658
2024-04-01-12:20:19,479.645
2024-04-01-12:25:20,479.640
2024-04-01-12:30:20,479.720
2024-04-01-12:35:21,479.866
2024-04-01-12:40:21,479.890
2024-04-01-12:45:22,479.960
2024-04-01-12:50:22,479.870
2024-04-01-12:55:23,479.780
2024-04-01-13:00:23,479.630
2024-04-01-13:05:24,479.590
2024-04-01-13:10:25,479.470
2024-04-01-13:15:26,479.510
2024-04-01-13:20:26,479.110
2024-04-01-13:25:27,478.974
2024-04-01-13:30:27,479.420
2024-04-01-13:35:28,479.260
2024-04-01-13:40:28,479.390
2024-04-01-13:45:29,479.540
2024-04-01-13:50:30,479.535
2024-04-01-13:55:30,479.458
2024-04-01-14:00:31,479.520
2024-04-01-14:05:31,479.560
2024-04-01-14:10:32,479.480
2024-04-01-14:15:32,479.374
2024-04-01-14:20:33,479.610
2024-04-01-14:25:33,479.795
2024-04-01-14:30:34,479.750
2024-04-01-14:35:34,479.730
2024-04-01-14:40:35,479.860
2024-04-01-14:45:36,479.810
2024-04-01-14:50:36,479.720
2024-04-01-14:55:37,479.850
2024-04-01-15:00:37,479.480
2024-04-01-15:05:38,479.900
2024-04-01-15:10:38,479.890
2024-04-01-15:15:39,479.789
2024-04-01-15:20:39,479.830
2024-04-01-15:25:40,479.720
2024-04-01-15:30:40,479.585
2024-04-01-15:35:41,479.750
2024-04-01-15:40:42,479.650
2024-04-01-15:45:42,479.880
2024-04-01-15:50:43,479.682
2024-04-01-15:55:43,480.340
2024-04-01-16:00:44,479.950
2024-04-02-09:30:00,480.070
2024-04-02-09:35:01,476.025
2024-04-02-09:40:01,475.660
2024-04-02-09:45:02,475.570
2024-04-02-09:50:02,475.380
2024-04-02-09:55:03,475.500
2024-04-02-10:00:03,475.550
2024-04-02-10:05:04,476.040
2024-04-02-10:10:05,475.350
2024-04-02-10:15:05,474.840
2024-04-02-10:20:06,474.995
2024-04-02-10:25:06,475.479
2024-04-02-10:30:07,475.300
2024-04-02-10:35:08,475.290
2024-04-02-10:40:08,475.504
2024-04-02-10:45:09,475.550
2024-04-02-10:50:09,475.310
2024-04-02-10:55:10,475.231
2024-04-02-11:00:11,475.060
2024-04-02-11:05:11,475.159
2024-04-02-11:10:12,475.451
2024-04-02-11:15:12,475.720
2024-04-02-11:20:13,475.850
2024-04-02-11:25:14,475.740
2024-04-02-11:30:14,475.700
2024-04-02-11:35:15,475.860
2024-04-02-11:40:15,475.550
2024-04-02-11:45:16,475.570
2024-04-02-11:50:16,475.330
2024-04-02-11:55:17,475.230
2024-04-02-12:00:18,475.275
2024-04-02-12:05:18,475.400
2024-04-02-12:10:19,475.360
2024-04-02-12:15:19,475.140
2024-04-02-12:20:20,475.180
2024-04-02-12:25:20,475.366
2024-04-02-12:30:21,475.530
2024-04-02-12:35:21,475.600
2024-04-02-12:40:22,475.760
2024-04-02-12:45:23,475.570
2024-04-02-12:50:23,475.990
2024-04-02-12:55:24,475.990
2024-04-02-13:00:24,476.090
2024-04-02-13:05:25,476.170
2024-04-02-13:10:26,475.960
2024-04-02-13:15:26,475.830
2024-04-02-13:20:27,475.669
2024-04-02-13:25:27,475.780
2024-04-02-13:30:28,475.720
2024-04-02-13:35:28,475.760
2024-04-02-13:40:29,475.660
2024-04-02-13:45:29,475.760
2024-04-02-13:50:30,476.020
2024-04-02-13:55:31,475.845
2024-04-02-14:00:31,475.860
2024-04-02-14:05:32,475.910
2024-04-02-14:10:32,476.070
2024-04-02-14:15:33,476.008
2024-04-02-14:20:33,476.120
2024-04-02-14:25:34,475.990
2024-04-02-14:30:34,476.030
2024-04-02-14:35:35,476.100
2024-04-02-14:40:36,475.990
2024-04-02-14:45:36,476.005
2024-04-02-14:50:37,475.940
2024-04-02-14:55:37,476.040
2024-04-02-15:00:38,475.920
2024-04-02-15:05:39,476.580
2024-04-02-15:10:39,476.477
2024-04-02-15:15:40,476.140
2024-04-02-15:20:40,476.135
2024-04-02-15:25:41,476.420
2024-04-02-15:30:41,476.390
2024-04-02-15:35:42,476.782
2024-04-02-15:40:43,476.800
2024-04-02-15:45:43,476.610
2024-04-02-15:50:44,476.830
2024-04-02-15:55:44,476.840
2024-04-02-16:00:45,476.880
2024-04-03-09:30:00,476.930
2024-04-03-09:35:01,476.280
2024-04-03-09:40:01,476.540
2024-04-03-09:45:02,476.410
2024-04-03-09:50:03,476.400
2024-04-03-09:55:03,476.620
2024-04-03-10:00:04,476.850
2024-04-03-10:05:05,477.940
2024-04-03-10:10:05,477.450
2024-04-03-10:15:06,478.200
2024-04-03-10:20:07,478.345
2024-04-03-10:25:07,478.290
2024-04-03-10:30:08,478.312
2024-04-03-10:35:08,478.350
2024-04-03-10:40:09,478.290
