date,account_dict,total_value,end_of_day_save
2023-08-01 23:18:47.876311,"{""account_number"": ""0.5"", ""money"": 0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": []}",0.0,0
2023-08-01 23:18:47.876540,"{""account_number"": ""0.5"", ""money"": 10000, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": []}",0.0,0
2023-08-01 23:18:47.878167,"{""account_number"": ""0.5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 222.41993335479384, ""buy_price"": 44.959999084472656, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 44.959999084472656, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 44.959999084472656}]}",0.0,0
2023-08-02 05:00:59.986606,"{""account_number"": ""0.5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 222.41993335479384, ""buy_price"": 44.959999084472656, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 44.959999084472656, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 44.959999084472656}]}",0.0,0
2023-08-02 09:31:00.071480,"{""account_number"": ""0.5"", ""money"": 9684.164101899254, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 44.959999084472656, ""sell_price"": 43.540000915527344, ""all_time_peak"": 0, ""last_high"": 44.959999084472656, ""last_low"": 43.540000915527344, ""trend"": ""DOWN"", ""last_price"": 43.540000915527344, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 43.540000915527344}]}",0.0,0
2023-08-02 09:44:00.708387,"{""account_number"": ""0.5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 223.49789274549713, ""buy_price"": 44.959999084472656, ""sell_price"": 43.540000915527344, ""all_time_peak"": 0, ""last_high"": 43.33000183105469, ""last_low"": 43.14500045776367, ""trend"": ""UP"", ""last_price"": 43.33000183105469, ""transaction_file"": null, ""account_file"": null, ""new_high"": 43.33000183105469, ""new_low"": 43.040000915527344}]}",0.0,0
2023-08-02 09:52:01.147640,"{""account_number"": ""0.5"", ""money"": 9626.076339339226, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 44.959999084472656, ""sell_price"": 43.070098876953125, ""all_time_peak"": 0, ""last_high"": 43.28010177612305, ""last_low"": 43.070098876953125, ""trend"": ""DOWN"", ""last_price"": 43.070098876953125, ""transaction_file"": null, ""account_file"": null, ""new_high"": 43.33000183105469, ""new_low"": 43.070098876953125}]}",0.0,0
2023-08-02 09:58:01.459531,"{""account_number"": ""0.5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 222.77065909763985, ""buy_price"": 44.959999084472656, ""sell_price"": 43.070098876953125, ""all_time_peak"": 0, ""last_high"": 43.21070098876953, ""last_low"": 42.9900016784668, ""trend"": ""UP"", ""last_price"": 43.21070098876953, ""transaction_file"": null, ""account_file"": null, ""new_high"": 43.21070098876953, ""new_low"": 42.9900016784668}]}",0.0,0
2023-08-02 10:07:01.977130,"{""account_number"": ""0.5"", ""money"": 9567.999978204156, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 44.959999084472656, ""sell_price"": 42.95000076293945, ""all_time_peak"": 0, ""last_high"": 43.11009979248047, ""last_low"": 42.95000076293945, ""trend"": ""DOWN"", ""last_price"": 42.95000076293945, ""transaction_file"": null, ""account_file"": null, ""new_high"": 43.21070098876953, ""new_low"": 42.95000076293945}]}",0.0,0
2023-08-02 10:25:03.030187,"{""account_number"": ""0.5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_0.5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_0.5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 223.78303165877958, ""buy_price"": 44.959999084472656, ""sell_price"": 42.95000076293945, ""all_time_peak"": 0, ""last_high"": 42.755699157714844, ""last_low"": 42.69779968261719, ""trend"": ""UP"", ""last_price"": 42.755699157714844, ""transaction_file"": null, ""account_file"": null, ""new_high"": 42.755699157714844, ""new_low"": 42.52000045776367}]}",0.0,0
