date,account_dict,total_value,end_of_day_save
2023-07-09 23:28:16.497857,"{""account_number"": ""2"", ""money"": 0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": []}",0.0,0
2023-07-09 23:28:16.498080,"{""account_number"": ""2"", ""money"": 10000, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": []}",0.0,0
2023-07-09 23:28:16.498939,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 250.81515595433882, ""buy_price"": 39.869998931884766, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 39.869998931884766, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.869998931884766, ""new_low"": 39.869998931884766}]}",0.0,0
2023-07-09 23:30:44.744338,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 250.81515595433882, ""buy_price"": 39.869998931884766, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 39.869998931884766, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.869998931884766, ""new_low"": 39.869998931884766}]}",0.0,0
2023-07-09 23:45:10.593291,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 250.81515595433882, ""buy_price"": 39.869998931884766, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 39.869998931884766, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.869998931884766, ""new_low"": 39.869998931884766}]}",0.0,0
2023-07-09 23:49:32.711248,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 250.81515595433882, ""buy_price"": 39.869998931884766, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 39.869998931884766, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.869998931884766, ""new_low"": 39.869998931884766}]}",0.0,0
2023-07-10 05:00:59.095002,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 250.81515595433882, ""buy_price"": 39.869998931884766, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 39.869998931884766, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.869998931884766, ""new_low"": 39.869998931884766}]}",0.0,0
2023-07-10 09:53:01.040063,"{""account_number"": ""2"", ""money"": 9848.256945461691, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 39.869998931884766, ""sell_price"": 39.26499938964844, ""all_time_peak"": 0, ""last_high"": 39.58409881591797, ""last_low"": 39.26499938964844, ""trend"": ""DOWN"", ""last_price"": 39.26499938964844, ""transaction_file"": null, ""account_file"": null, ""new_high"": 40.06999969482422, ""new_low"": 39.26499938964844}]}",0.0,0
2023-07-10 13:30:12.451688,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 247.7548917097281, ""buy_price"": 39.869998931884766, ""sell_price"": 39.26499938964844, ""all_time_peak"": 0, ""last_high"": 39.75, ""last_low"": 39.59000015258789, ""trend"": ""UP"", ""last_price"": 39.75, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.75, ""new_low"": 38.95989990234375}]}",0.0,0
2023-07-10 16:01:20.166012,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 247.7548917097281, ""buy_price"": 39.869998931884766, ""sell_price"": 39.26499938964844, ""all_time_peak"": 0, ""last_high"": 39.900001525878906, ""last_low"": 39.779998779296875, ""trend"": ""UP"", ""last_price"": 39.900001525878906, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.91999816894531, ""new_low"": 39.900001525878906}]}",0.0,0
2023-07-10 19:05:02.962930,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 247.7548917097281, ""buy_price"": 39.869998931884766, ""sell_price"": 39.26499938964844, ""all_time_peak"": 0, ""last_high"": 39.900001525878906, ""last_low"": 39.779998779296875, ""trend"": ""UP"", ""last_price"": 39.900001525878906, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.91999816894531, ""new_low"": 39.900001525878906}]}",0.0,0
2023-07-11 05:00:59.039037,"{""account_number"": ""2"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 247.7548917097281, ""buy_price"": 39.869998931884766, ""sell_price"": 39.26499938964844, ""all_time_peak"": 0, ""last_high"": 39.900001525878906, ""last_low"": 39.779998779296875, ""trend"": ""UP"", ""last_price"": 39.900001525878906, ""transaction_file"": null, ""account_file"": null, ""new_high"": 39.91999816894531, ""new_low"": 39.900001525878906}]}",0.0,0
2023-07-11 10:06:01.870308,"{""account_number"": ""2"", ""money"": 9768.975455723372, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_2.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_2.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 39.869998931884766, ""sell_price"": 39.43000030517578, ""all_time_peak"": 0, ""last_high"": 39.669898986816406, ""last_low"": 39.43000030517578, ""trend"": ""DOWN"", ""last_price"": 39.43000030517578, ""transaction_file"": null, ""account_file"": null, ""new_high"": 40.2400016784668, ""new_low"": 39.43000030517578}]}",0.0,0
